,Vehicle,Driver,Time,PS
0,Porsche 911 Turbo,Oleg Kesselman,1:48.77,500 / 1602
1,Porsche 911 Turbo S,Oleg Kesselman,1:49.09,530 / 1591
2,Nissan GT-R (R35),unknown,1:49.16,480 / 1765
3,Audi R8 V10 5.2 FSI (Mk I),unknown,1:49.73,525 / 1671
4,Lamborghini Gallardo SE,unknown,1:49.80,520 / 1640
5,Ferrari 458 Italia,Oleg Kesselman,1:50.02,570 / 1534
6,Porsche 911 Turbo (997),unknown,1:50.65,480 / 1615
7,911 Carrera 4S Cabriolet,Boris Shulmeister,1:52.70,400 / 1535
8,BMW M6 Cabrio (F12),Boris Shulmeister,1:53.90,560 / 2055
9,Mercedes-Benz SL 63 AMG,unknown,1:55.00,537 / 1845
10,BMW M3 (E92),unknown,1:56.27,420 / 1625
11,Jaguar F-Type V8 S,Boris Shulmeister,1:56.30,495 / 1768
12,Lancer Evo X MR TC-SST,unknown,1:56.60,295 / 1675
13,Mercedes-Benz C 63 AMG,unknown,1:56.62,457 / 1796
14,Mitsubishi Lancer EVO IX,unknown,1:56.80,290 / 1486
15,Subaru Impreza WRX STI (2.5),unknown,1:57.10,300 / 1519
16,Mitsubishi Lancer Evo X,unknown,1:57.40,295 / 1584
17,Audi S4 (B8),unknown,1:57.80,333 / 1754
18,BMW M3 Cabrio (E93),unknown,1:58.83,420 / 1851
19,Porsche Cayman S (987),unknown,1:59.15,295 / 1410
20,VW Golf R32 (Mk V),Alexei Kurilkin,1:59.60,250 / 1582
21,Opel Astra OPC 2012,Oleg Kesselman,1:59.70,280 / 1548
22,Caterham 7 CSR 200,unknown,2:00.90,200 / 575
23,Audi TT 3.2 quattro (Mk II),Kirill Ladygin,2:00.99,250 / 1447
24,Audi TT Roadster 3.2 (Mk II),unknown,2:00.99,250 / 1539
25,Nissan 350Z (313 PS),unknown,2:01.54,313 / 1545
26,Renault Megane RS (Mk III),Oleg Kesselman,2:01.60,250 / 1406
27,Peugeot RCZ GT THP200,Oleg Kesselman,2:02.00,200 / 1360
28,BMW Z4 3.0si Coupe,unknown,2:02.17,265 / 1400
29,Toyota GT86,Oleg Kesselman,2:02.20,200 / 1239
30,Ford Focus ST,Oleg Kesselman,2:02.40,250 / 1450
31,Subaru BRZ,Oleg Kesselman,2:02.40,200 / 1251
32,Mini Cooper S (Mk II),unknown,2:02.70,174 / 1202
33,Toyota Celica S,Scherbatkin  Slava,2:03.00,143 / 1124
34,Renault Clio RS III Cup,unknown,2:03.60,201 / 1256
35,Honda Civic Type-R (EP3),Alexey Krasnoglazov,2:03.69,200 / 1238
36,Skoda Fabia RS (Mk II),F. Dikarev,2:04.05,179 / 1264
37,Opel Corsa OPC (D),unknown,2:05.47,192 / 1221
38,Ford Fiesta ST,unknown,2:06.30,150 / 1145
39,Volvo C30 T5,unknown,2:06.82,220 / 1453
40,Honda Civic Type-R (FN2),unknown,2:07.29,201 / 1328
41,Mazda MX-5 2.0 (Mk III),unknown,2:08.17,160 / 1144
42,Ford Focus RS,unknown,2:10.20 w,305 / 1474
43,Mazda 3 MPS (Mk II),unknown,2:12.50 w,260 / 1464
